campaign_id,impressions,unique_users,clicks,observed_conversions,transformed_media_cost,model,window_days,credited_conversions,publisher_conversions,campaign_rank,absolute_difference,percentage_difference,attributed_conversion_share,ctr,conversions_per_impression,transformed_cost_per_attributed_conversion,rank_change_vs_publisher
73322,735,402,222.0,52,0.11504258728980496,first_click_proxy,1,46.0,46.0,387,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,-18
73322,735,402,222.0,52,0.11504258728980496,first_click_proxy,7,48.0,46.0,468,2.0,4.3478260869565215,0.9230769230769231,0.3020408163265306,0.0653061224489796,0.0023967205685376035,63
73322,735,402,222.0,52,0.11504258728980496,first_click_proxy,14,49.0,46.0,495,3.0,6.521739130434782,0.9423076923076923,0.3020408163265306,0.06666666666666667,0.0023478079038735705,90
73322,735,402,222.0,52,0.11504258728980496,first_click_proxy,30,52.0,46.0,528,6.0,13.043478260869565,1.0,0.3020408163265306,0.0707482993197279,0.0022123574478808646,123
73322,735,402,222.0,52,0.11504258728980496,last_click_proxy,1,46.0,46.0,387,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,-18
73322,735,402,222.0,52,0.11504258728980496,last_click_proxy,7,48.0,46.0,468,2.0,4.3478260869565215,0.9230769230769231,0.3020408163265306,0.0653061224489796,0.0023967205685376035,63
73322,735,402,222.0,52,0.11504258728980496,last_click_proxy,14,49.0,46.0,495,3.0,6.521739130434782,0.9423076923076923,0.3020408163265306,0.06666666666666667,0.0023478079038735705,90
73322,735,402,222.0,52,0.11504258728980496,last_click_proxy,30,52.0,46.0,528,6.0,13.043478260869565,1.0,0.3020408163265306,0.0707482993197279,0.0022123574478808646,123
73322,735,402,222.0,52,0.11504258728980496,linear_proxy,1,46.0,46.0,387,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,-18
73322,735,402,222.0,52,0.11504258728980496,linear_proxy,7,48.0,46.0,468,2.0,4.3478260869565215,0.9230769230769231,0.3020408163265306,0.0653061224489796,0.0023967205685376035,63
73322,735,402,222.0,52,0.11504258728980496,linear_proxy,14,49.0,46.0,495,3.0,6.521739130434782,0.9423076923076923,0.3020408163265306,0.06666666666666667,0.0023478079038735705,90
73322,735,402,222.0,52,0.11504258728980496,linear_proxy,30,52.0,46.0,528,6.0,13.043478260869565,1.0,0.3020408163265306,0.0707482993197279,0.0022123574478808646,123
73322,735,402,222.0,52,0.11504258728980496,publisher,1,46.0,46.0,405,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,0
73322,735,402,222.0,52,0.11504258728980496,publisher,7,46.0,46.0,405,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,0
73322,735,402,222.0,52,0.11504258728980496,publisher,14,46.0,46.0,405,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,0
73322,735,402,222.0,52,0.11504258728980496,publisher,30,46.0,46.0,405,0.0,0.0,0.8846153846153846,0.3020408163265306,0.06258503401360545,0.002500925810647934,0
73325,5692,2816,1511.0,275,0.42529471658576523,first_click_proxy,1,213.0,210.0,156,3.0,1.4285714285714286,0.7745454545454545,0.26546029515108926,0.03742094167252284,0.0019966888102618085,-6
73325,5692,2816,1511.0,275,0.42529471658576523,first_click_proxy,7,247.0,210.0,193,37.0,17.61904761904762,0.8981818181818182,0.26546029515108926,0.043394237526352776,0.0017218409578371062,31
73325,5692,2816,1511.0,275,0.42529471658576523,first_click_proxy,14,257.0,210.0,210,47.0,22.38095238095238,0.9345454545454546,0.26546029515108926,0.04515108924806746,0.00165484325519753,48
73325,5692,2816,1511.0,275,0.42529471658576523,first_click_proxy,30,275.0,210.0,224,65.0,30.952380952380953,1.0,0.26546029515108926,0.0483134223471539,0.0015465262421300555,62
73325,5692,2816,1511.0,275,0.42529471658576523,last_click_proxy,1,213.0,210.0,156,3.0,1.4285714285714286,0.7745454545454545,0.26546029515108926,0.03742094167252284,0.0019966888102618085,-6
73325,5692,2816,1511.0,275,0.42529471658576523,last_click_proxy,7,247.0,210.0,193,37.0,17.61904761904762,0.8981818181818182,0.26546029515108926,0.043394237526352776,0.0017218409578371062,31
73325,5692,2816,1511.0,275,0.42529471658576523,last_click_proxy,14,257.0,210.0,210,47.0,22.38095238095238,0.9345454545454546,0.26546029515108926,0.04515108924806746,0.00165484325519753,48
73325,5692,2816,1511.0,275,0.42529471658576523,last_click_proxy,30,275.0,210.0,224,65.0,30.952380952380953,1.0,0.26546029515108926,0.0483134223471539,0.0015465262421300555,62
73325,5692,2816,1511.0,275,0.42529471658576523,linear_proxy,1,213.0,210.0,156,3.0,1.4285714285714286,0.7745454545454545,0.26546029515108926,0.03742094167252284,0.0019966888102618085,-6
73325,5692,2816,1511.0,275,0.42529471658576523,linear_proxy,7,247.0,210.0,193,37.0,17.61904761904762,0.8981818181818182,0.26546029515108926,0.043394237526352776,0.0017218409578371062,31
73325,5692,2816,1511.0,275,0.42529471658576523,linear_proxy,14,257.00000000000006,210.0,210,47.00000000000006,22.380952380952408,0.9345454545454548,0.26546029515108926,0.045151089248067475,0.0016548432551975298,48
