campaign_id,relative_day,impressions,unique_users,clicks,ctr,linked_conversions,linked_user_conversion_rate,transformed_media_cost
73322,0,28,24,12.0,0.42857142857142855,2,0.08333333333333333,0.0038330681243076005
73322,1,35,28,8.0,0.22857142857142856,0,0.0,0.0049237165294238995
73322,2,25,23,7.0,0.28,2,0.08695652173913043,0.005810875407587701
73322,3,44,33,14.0,0.3181818181818182,3,0.09090909090909091,0.0169100097992199
73322,4,36,33,8.0,0.2222222222222222,3,0.09090909090909091,0.0031622474638298005
73322,5,47,42,16.0,0.3404255319148936,2,0.047619047619047616,0.004520563293648097
73322,6,36,31,12.0,0.3333333333333333,0,0.0,0.0059991180433851985
73322,7,31,28,10.0,0.3225806451612903,2,0.07142857142857142,0.0023396753146503004
73322,8,28,25,2.0,0.07142857142857142,0,0.0,0.0018868167109715999
73322,9,28,26,8.0,0.2857142857142857,1,0.038461538461538464,0.0027410867759275
73322,10,23,22,7.0,0.30434782608695654,3,0.13636363636363635,0.0034579498341184003
73322,11,24,18,4.0,0.16666666666666666,3,0.05555555555555555,0.005155160628204
73322,12,24,23,8.0,0.3333333333333333,0,0.0,0.0034272831237866994
73322,13,34,31,12.0,0.35294117647058826,3,0.0967741935483871,0.0040642194310858
73322,14,27,24,11.0,0.4074074074074074,4,0.16666666666666666,0.0036291874832189
73322,15,18,15,5.0,0.2777777777777778,2,0.13333333333333333,0.0008413418265291002
73322,16,21,19,7.0,0.3333333333333333,2,0.10526315789473684,0.0022431111117542997
73322,17,12,11,2.0,0.16666666666666666,0,0.0,0.0007050583711017001
73322,18,22,19,9.0,0.4090909090909091,3,0.15789473684210525,0.0033773941736192
73322,19,17,15,2.0,0.11764705882352941,0,0.0,0.0017050570197636998
73322,20,15,12,6.0,0.4,0,0.0,0.0014361464164009
73322,21,20,18,7.0,0.35,2,0.1111111111111111,0.0016432643796088003
73322,22,10,10,3.0,0.3,2,0.2,0.0005568828243421001
73322,23,10,7,4.0,0.4,2,0.2857142857142857,0.0012924168438344001
73322,24,14,13,3.0,0.21428571428571427,1,0.07692307692307693,0.0016707242859659
73322,25,21,16,6.0,0.2857142857142857,2,0.125,0.004465694422952401
73322,26,16,14,7.0,0.4375,1,0.07142857142857142,0.006062113195283997
73322,27,18,15,3.0,0.16666666666666666,2,0.13333333333333333,0.0011621119032749004
73322,28,12,11,5.0,0.4166666666666667,2,0.18181818181818182,0.0027609231462439997
73322,29,13,12,7.0,0.5384615384615384,3,0.25,0.0059296744294675
73322,30,26,22,7.0,0.2692307692307692,5,0.18181818181818182,0.007329694976296699
73325,0,193,166,54.0,0.27979274611398963,12,0.06626506024096386,0.014587444366648382
73325,1,213,179,49.0,0.2300469483568075,9,0.05027932960893855,0.013672826166562676
73325,2,201,169,46.0,0.22885572139303484,14,0.07100591715976332,0.008971387009201788
73325,3,205,170,63.0,0.3073170731707317,14,0.07647058823529412,0.018859628038936163
73325,4,224,180,68.0,0.30357142857142855,17,0.08333333333333333,0.036057693424978235
73325,5,204,174,51.0,0.25,5,0.028735632183908046,0.013513318073040273
73325,6,200,169,56.0,0.28,11,0.0650887573964497,0.013165824835544586
73325,7,173,151,43.0,0.24855491329479767,10,0.06622516556291391,0.009837482765034886
73325,8,176,154,42.0,0.23863636363636365,10,0.06493506493506493,0.013360965007137874
73325,9,169,146,59.0,0.34911242603550297,16,0.0958904109589041,0.036086910649375
73325,10,207,167,49.0,0.23671497584541062,9,0.05389221556886228,0.01686493689679187
