feature,control_mean,treatment_mean,smd,missing_or_nonfinite
f0,19.65170471463219,19.614755039346175,-0.006865619466865833,0
f1,10.067935425292028,10.070336699924512,0.023994395138020336,0
f2,8.448173103942917,8.446301577870353,-0.006240990421472708,0
f3,4.2328209958748095,4.169411677887295,-0.04883634060877185,0
f4,10.336525673416684,10.339245225511258,0.007965653207257846,0
f5,4.039338816338004,4.026602473978376,-0.03055682917669046,0
f6,-3.999879725497778,-4.182792391429574,-0.040448068819337143,0
f7,5.080284299192401,5.105555291300564,0.02126952906517074,0
f8,3.934651747368116,3.9333918541085238,-0.022433335426357608,0
f9,15.886252509280334,16.052588744720918,0.02400105794996283,0
f10,5.331898099726051,5.333659814863458,0.010563470853387746,0
f11,-0.17086774869601645,-0.17098480632660004,-0.005159528987984347,0
