arm,covariate,treatment_mean,control_mean,smd
Mens E-Mail,recency,5.773642464917633,5.749694921618324,0.006831532454259954
Mens E-Mail,history,242.83593091472284,240.8826532432179,0.00761286832154239
Mens E-Mail,mens,0.5509456985967053,0.5532244438186427,-0.0045823256374879625
Mens E-Mail,womens,0.551415027925095,0.5476391626771802,0.007588929691887142
Mens E-Mail,newbie,0.5015253203172666,0.5019712756969867,-0.0008918953696535328
Mens E-Mail,geo_class_Rural,0.1522035011967898,0.14732939078193935,0.01365900039927897
Mens E-Mail,geo_class_Suburban,0.44590979490308347,0.4517506805594668,-0.01174335672606268
Mens E-Mail,geo_class_Urban,0.4018867039001267,0.4009199286585938,0.0019722315768513645
Mens E-Mail,channel_Multichannel,0.1209461679260337,0.12231296348446447,-0.004181536419632754
Mens E-Mail,channel_Phone,0.43366029943211154,0.4377640101379893,-0.008275992307117473
Mens E-Mail,channel_Web,0.4453935326418548,0.4399230263775462,0.011013588354428299
Mens E-Mail,history_segment_1) $0 - $100,0.36250997324822826,0.3572702525110298,0.010916720554376393
Mens E-Mail,history_segment_2) $100 - $200,0.22016238794762286,0.22697831596733314,-0.016359543173779502
Mens E-Mail,history_segment_3) $200 - $350,0.1919556953114,0.18980568853843988,0.005470713585408414
Mens E-Mail,history_segment_4) $350 - $500,0.09841836016332661,0.09969022810475922,-0.004257423463175294
Mens E-Mail,history_segment_5) $500 - $750,0.07495189374384005,0.0775368440814794,-0.009740129383845251
Mens E-Mail,"history_segment_6) $750 - $1,000",0.030224808748298682,0.029193654369661128,0.006073217597584176
Mens E-Mail,"history_segment_7) $1,000 +",0.021776880837283522,0.019525016427297474,0.015834592826810663
Womens E-Mail,recency,5.767849628278861,5.749694921618324,0.005180013205688683
Womens E-Mail,history,242.53663346892975,240.8826532432179,0.006510722458553667
Womens E-Mail,mens,0.548931593958947,0.5532244438186427,-0.008630731202832915
Womens E-Mail,womens,0.5501005283583486,0.5476391626771802,0.004946313992582152
Womens E-Mail,newbie,0.5032496376303361,0.5019712756969867,0.0025567009140795606
Womens E-Mail,geo_class_Rural,0.14873521297984757,0.14732939078193935,0.00395850560137286
Womens E-Mail,geo_class_Suburban,0.45120867816898114,0.4517506805594668,-0.0010891197386245202
Womens E-Mail,geo_class_Urban,0.40005610885117127,0.4009199286585938,-0.0017628666291550237
Womens E-Mail,channel_Multichannel,0.12058727264225931,0.12231296348446447,-0.00528289712504171
Womens E-Mail,channel_Phone,0.4420442324776733,0.4377640101379893,0.008622833281250204
Womens E-Mail,channel_Web,0.43736849488006735,0.4399230263775462,-0.005147863897421752
Womens E-Mail,history_segment_1) $0 - $100,0.3569458082012437,0.3572702525110298,-0.0006771130829583109
Womens E-Mail,history_segment_2) $100 - $200,0.22102211623883666,0.22697831596733314,-0.014286147854542706
Womens E-Mail,history_segment_3) $200 - $350,0.19427689718053023,0.18980568853843988,0.011350888687263824
Womens E-Mail,history_segment_4) $350 - $500,0.10230513863561977,0.09969022810475922,0.008677899940116288
Womens E-Mail,history_segment_5) $500 - $750,0.07771075887221209,0.0775368440814794,0.0006499424018974358
Womens E-Mail,"history_segment_6) $750 - $1,000",0.027727123953803712,0.029193654369661128,-0.008819306801837288
Womens E-Mail,"history_segment_7) $1,000 +",0.020012156917753775,0.019525016427297474,0.0034993920645670033
